source_bucket,source_division,source_district,source_upazila,policy,target_division,target_district,target_upazila,reason,post_office_samples,postal_code_samples
legacy_special,Dhaka,Dhaka,Dhaka Sadr,legacy_alias_explicit,Dhaka,Dhaka,Wari,official source row is Wari TSO postcode 1203,Wari TSO,1203
legacy_special,Dhaka,Dhaka,Kodomtoli,legacy_alias_explicit,Dhaka,Dhaka,Kadamtali,clear legacy spelling variant of Kadamtali,Kodomtoli UPO | Matuail SO | Tushardhara | Merajnagar | Habibnagar,1362
legacy_special,Rajshahi,Naogaon,Ahsangonj (Atral),legacy_alias_explicit,Rajshahi,Naogaon,Atrai,parenthetical Atral identifies legacy spelling of Atrai,Ahsangonj (Atral) UPO | Bandai Khara SO,6596 | 6597
legacy_special,Rajshahi,Naogaon,Nitpur (Pursa),legacy_alias_explicit,Rajshahi,Naogaon,Porsha,parenthetical Pursa identifies canonical Porsha,Nitpur (Pursa) UPO | Pursa EDSO | Ganguria EDSO,6550 | 6551 | 6552
legacy_special,Mymensingh,Netrokona,Susang,legacy_alias_explicit,Mymensingh,Netrokona,Durgapur,Susang is the historical name associated with Durgapur,Susang UPO | Ketta,2420
legacy_special,Barisal,Patuakhali,Khepupara,legacy_alias_explicit,Barisal,Patuakhali,Kalapara,Khepupara is the legacy postal name associated with Kalapara,Khepupara UPO | Mahipur EDSO,8650 | 8651
legacy_special,Rajshahi,Pabna,Debattar (Afgaria),legacy_alias_explicit,Rajshahi,Pabna,Atghoria,parenthetical Afgaria identifies legacy spelling of Atghoria,Debattar (Afgaria) UPO,6610
legacy_special,Barisal,Pirojpur,Swarupkati,legacy_alias_explicit,Barisal,Pirojpur,Nesarabad,Swarupkati is the former name of Nesarabad,Swarupkati UPO | Darus Sunnat SO | Kaurikhara SO | Jalabari SO,8520 | 8521 | 8522 | 8523
legacy_special,Barisal,Barisal,Barjalia (Hijla),legacy_alias_explicit,Barisal,Barisal,Hizla,parenthetical Hijla identifies canonical Hizla,Barjalia (Hijla) UPo | Osman Manjil SO,8260 | 8261
legacy_special,Khulna,Bagerhat,Chalna Anchorange,legacy_alias_explicit,Khulna,Bagerhat,Mongla,Mongla Port postal context identifies canonical Mongla,Chalna Anchorange UPO | Mongla Port SO,9350 | 9351
legacy_special,Chattogram,Lakshmipur,Char Alexander (Rangamati),legacy_alias_explicit,Chattogram,Lakshmipur,Ramgati,Char Alexander and Ramgatir Hat postal context identify Ramgati,Char Alexander (Rangamati) UPO | Hajeer Hat SO | Ramgatir Hat SO,3730 | 3731 | 3732
legacy_special,Chattogram,Lakshmipur,Roypur,legacy_alias_explicit,Chattogram,Lakshmipur,Raipur,legacy spelling variant of Raipur,Roypur UPO | Rakhalia Bazar SO | Nager Dighir Par SO | Haidergonj SO | Bhua Bari EDSO,3710 | 3711 | 3712 | 3713 | 3714
legacy_special,Rangpur,Lalmonirhat,Tushbhanader,source_anomaly_hold,,,,current source evidence is insufficient for a safe canonical mapping,Tushbhanader UPO,5520
legacy_special,Dhaka,Shariatpur,Jangira,legacy_alias_explicit,Dhaka,Shariatpur,Zajira,legacy spelling variant associated with canonical Zajira,Jangira UPO,8010
legacy_special,Rajshahi,Sirajganj,Dhangarha (Roygonj),legacy_alias_explicit,Rajshahi,Sirajganj,Raigonj,parenthetical Roygonj identifies canonical Raigonj,Dhangarha (Roygonj) UPO | Malunga SO,6720 | 6721
legacy_special,Sylhet,Sunamganj,Dirai Chandpur (Dirai),legacy_alias_explicit,Sylhet,Sunamganj,Derai,parenthetical Dirai identifies canonical Derai,Dirai Chandpur (Dirai) UPO | Jagadal EDSO,3040 | 3041
