district_label_bn,division,district,source_upazila,canonical_upazila,resolution_type,reason
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Tongipara,Tungipara,safe_candidate,high_similarity:0.889;margin:0.257
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Anowara,Anwara,safe_candidate,high_similarity:0.923;margin:0.308
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Boalkhali,Boalkhali,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Chandgaon,Chandgaon,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,East Zoara (Chandanaish),Chandanaish,parenthetical,parenthetical
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Fatikchari,Fatikchhari,safe_candidate,high_similarity:0.952;margin:0.320
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Hathazari,Hathazari,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Karnafhuli,Karnafuli,safe_candidate,high_similarity:0.947;margin:0.359
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Mireshwarai,Mirsharai,safe_candidate,high_similarity:0.900;margin:0.400
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Patiya,Patiya,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Raozan,Raozan,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Sandwip,Sandwip,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Satkania,Satkania,exact,exact
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Sitakundu,Sitakunda,safe_candidate,high_similarity:0.889;margin:0.389
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Faridgonj,Faridgonj,exact,exact
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Haimchar,Haimchar,exact,exact
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Kachua,Kachua,exact,exact
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Sadar,Chandpur Sadar,safe_candidate,unique_district_sadar
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Shahrasti,Shahrasti,exact,exact
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Bholahat,Bholahat,exact,exact
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Rohanpur (Gomostapur),Gomostapur,parenthetical,parenthetical
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj,Sadar,Chapainawabganj Sadar,safe_candidate,unique_district_sadar
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Alamdanga,Alamdanga,exact,exact
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Damurhuda,Damurhuda,exact,exact
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Daulagonj (Jibannagar),Jibannagar,parenthetical,parenthetical
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga,Sadar,Chuadanga Sadar,safe_candidate,unique_district_sadar
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Dewangonj,Dewangonj,exact,exact
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Islampur,Islampur,exact,exact
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Madargonj,Madarganj,safe_candidate,high_similarity:0.889;margin:0.333
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Melandah,Melandah,exact,exact
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Sadar,Jamalpur Sadar,safe_candidate,unique_district_sadar
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur,Sarishabari,Sarishabari,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Akkelpur,Akkelpur,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Kalai,Kalai,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Khetal,Khetlal,safe_candidate,high_similarity:0.923;margin:0.378
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Panchbibi,Panchbibi,exact,exact
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat,Sadar,Joypurhat Sadar,safe_candidate,unique_district_sadar
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Kathalia,Kathalia,exact,exact
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Rajapur,Rajapur,exact,exact
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi,Sadar,Jhalakathi Sadar,safe_candidate,unique_district_sadar
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Harina Kunda,Harinakundu,safe_candidate,high_similarity:0.909;margin:0.309
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Maheshpur,Moheshpur,safe_candidate,high_similarity:0.889;margin:0.489
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Sadar,Jhenaidah Sadar,safe_candidate,unique_district_sadar
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah,Shailakupa,Shailkupa,safe_candidate,high_similarity:0.947;margin:0.376
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Basail,Basail,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Bhuapur,Bhuapur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Ghatail,Ghatail,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Gopalpur,Gopalpur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Kalihati,Kalihati,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Madhupur,Madhupur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Mirzapur,Mirzapur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Nagarpur,Nagarpur,exact,exact
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Sadar,Tangail Sadar,safe_candidate,unique_district_sadar
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail,Shakhipur,Sakhipur,safe_candidate,high_similarity:0.941;margin:0.316
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Baliadangi,Baliadangi,exact,exact
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Rani Shakail,Ranisankail,safe_candidate,high_similarity:0.909;margin:0.576
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon,Sadar,Thakurgaon Sadar,safe_candidate,unique_district_sadar
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Banani,Banani,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Demra,Demra,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhamrai,Dhamrai,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Dhanmondi,Dhanmondi,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Gulshan,Gulshan,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Joypara (Dohar),Dohar,parenthetical,parenthetical
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Kamrangirchar,Kamrangir Char,normalized,normalized
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Keranigonj,Keraniganj,safe_candidate,high_similarity:0.900;margin:0.180
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Khilgaon,Khilgaon,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Khilkhet,Khilkhet,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Mirpur,Mirpur,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Mohammadpur,Mohammadpur,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Motijheel,Motijheel,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Nawabgonj,Nawabganj,safe_candidate,high_similarity:0.889;margin:0.333
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Savar,Savar,exact,exact
ঢাকা পোস্ট কোড,Dhaka,Dhaka,Tejgaon,Tejgaon,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Banla Hili (Hakimpur),Hakimpur,parenthetical,parenthetical
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Birampur,Birampur,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Chirir Bandar,Chirirbandar,normalized,normalized
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Fulbari,Fulbari,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Khansama,Khansama,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Osmanpur (Ghoraghat),Ghoraghat,parenthetical,parenthetical
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Parbatipur,Parbatipur,exact,exact
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur,Sadar,Dinajpur Sadar,safe_candidate,unique_district_sadar
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Badalgachi,Badalgachi,exact,exact
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Dhamuirhat,Dhamoirhat,safe_candidate,high_similarity:0.900;margin:0.479
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Niamatpur,Niamatpur,exact,exact
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Patmitala,Patnitala,safe_candidate,high_similarity:0.889;margin:0.445
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Prasadpur (Manda),Manda,parenthetical,parenthetical
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Raninagar,Raninagar,exact,exact
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Sadar,Naogaon Sadar,safe_candidate,unique_district_sadar
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon,Sapahar,Sapahar,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Belabo,Belabo,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Monohardi,Monohardi,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Palash,Palash,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Raipura,Raipura,exact,exact
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Sadar,Narsingdi Sadar,safe_candidate,unique_district_sadar
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi,Shibpur,Shibpur,exact,exact
নাটোর পোস্ট কোড,Rajshahi,Natore,Gopalpur (Lalpur),Lalpur,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Harua (Baraigram),Baraigram,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Hatgurudaspur (Gurudaspur),Gurudaspur,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Lakkanhati (Bagatipara),Bagatipara,parenthetical,parenthetical
নাটোর পোস্ট কোড,Rajshahi,Natore,Sadar,Natore Sadar,safe_candidate,unique_district_sadar
নাটোর পোস্ট কোড,Rajshahi,Natore,Singrha,Singra,safe_candidate,high_similarity:0.923;margin:0.423
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Arhaihazar,Araihazar,safe_candidate,high_similarity:0.947;margin:0.485
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Bandar,Bandar,exact,exact
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Sadar,Narayanganj Sadar,safe_candidate,unique_district_sadar
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj,Sonargaon,Sonargaon,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Dimla,Dimla,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Domar,Domar,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Jaldhaka,Jaldhaka,exact,exact
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Sadar,Nilphamari Sadar,safe_candidate,unique_district_sadar
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari,Sayedpur,Syedpur,safe_candidate,high_similarity:0.933;margin:0.585
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Atpara,Atpara,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Barhatta,Barhatta,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Kamakanda,Kalmakanda,safe_candidate,high_similarity:0.947;margin:0.376
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Kendua,Kendua,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Khaliajuri,Khaliajuri,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Madan,Madan,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Mohangonj,Mohongonj,safe_candidate,high_similarity:0.889;margin:0.460
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Purbadhala,Purbadhala,exact,exact
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona,Sadar,Netrokona Sadar,safe_candidate,unique_district_sadar
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Begumgonj,Begumganj,safe_candidate,high_similarity:0.889;margin:0.589
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Chatkhil,Chatkhil,exact,exact
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali,Sadar,Noakhali Sadar,safe_candidate,unique_district_sadar
নড়াইল পোস্ট কোড,Khulna,Narail,Kalia,Kalia,exact,exact
নড়াইল পোস্ট কোড,Khulna,Narail,Lakshmipasa (Lohagara),Lohagara,parenthetical,parenthetical
নড়াইল পোস্ট কোড,Khulna,Narail,Sadar,Narail Sadar,safe_candidate,unique_district_sadar
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Boda,Boda,exact,exact
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Sadar,Panchagarh Sadar,safe_candidate,unique_district_sadar
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Tetulia,Tetulia,exact,exact
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Dasmina,Dashmina,safe_candidate,high_similarity:0.933;margin:0.433
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Golachipa,Galachipa,safe_candidate,high_similarity:0.889;margin:0.418
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Sadar,Patuakhali Sadar,safe_candidate,unique_district_sadar
পাবনা পোস্ট কোড,Rajshahi,Pabna,Bera,Bera,exact,exact
পাবনা পোস্ট কোড,Rajshahi,Pabna,Chat Mohar,Chatmohar,normalized,normalized
পাবনা পোস্ট কোড,Rajshahi,Pabna,Sadar,Pabna Sadar,safe_candidate,unique_district_sadar
পাবনা পোস্ট কোড,Rajshahi,Pabna,Santhia,Santhia,exact,exact
পাবনা পোস্ট কোড,Rajshahi,Pabna,Sujanagar,Sujanagar,exact,exact
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Bhanderia,Bhandaria,safe_candidate,high_similarity:0.889;margin:0.333
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Mathbaria,Mathbaria,exact,exact
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Nazirpur,Nazirpur,exact,exact
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Sadar,Pirojpur Sadar,safe_candidate,unique_district_sadar
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Alfadanga,Alfadanga,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Bhanga,Bhanga,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Boalmari,Boalmari,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Char Bhadrasan,Charbhadrasan,normalized,normalized
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Madhukhali,Madhukhali,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Nagarkanda,Nagarkanda,exact,exact
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Sadar,Faridpur Sadar,safe_candidate,unique_district_sadar
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur,Sadarpur,Sadarpur,exact,exact
ফেণী পোস্ট কোড,Chattogram,Feni,Chhagal Naiya,Chhagalnaiya,normalized,normalized
ফেণী পোস্ট কোড,Chattogram,Feni,Dagon Bhuiyan,Daganbhuiyan,safe_candidate,high_similarity:0.917;margin:0.417
ফেণী পোস্ট কোড,Chattogram,Feni,Parshuram,Parshuram,exact,exact
ফেণী পোস্ট কোড,Chattogram,Feni,Sadar,Feni Sadar,safe_candidate,unique_district_sadar
ফেণী পোস্ট কোড,Chattogram,Feni,Sonagazi,Sonagazi,exact,exact
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Adam Dighi,Adamdighi,normalized,normalized
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Dupchachia,Dupchanchia,safe_candidate,high_similarity:0.952;margin:0.531
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Nandigram,Nondigram,safe_candidate,high_similarity:0.889;margin:0.445
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sadar,Bogra Sadar,safe_candidate,unique_district_sadar
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Saria Kandi,Shariakandi,safe_candidate,high_similarity:0.952;margin:0.476
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sherpur,Sherpur,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Amtali,Amtali,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Bamna,Bamna,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Betagi,Betagi,exact,exact
বরগুণা পোস্ট কোড,Barisal,Barguna,Patharghata,Pathorghata,safe_candidate,high_similarity:0.909;margin:0.474
বরগুণা পোস্ট কোড,Barisal,Barguna,Sadar,Barguna Sadar,safe_candidate,unique_district_sadar
বরিশাল পোস্ট কোড,Barisal,Barisal,Agailjara,Agailjhara,safe_candidate,high_similarity:0.947;margin:0.315
বরিশাল পোস্ট কোড,Barisal,Barisal,Gour Nadi,Gournadi,normalized,normalized
বরিশাল পোস্ট কোড,Barisal,Barisal,Mehendigonj,Mehendiganj,safe_candidate,high_similarity:0.909;margin:0.509
বরিশাল পোস্ট কোড,Barisal,Barisal,Muladi,Muladi,exact,exact
বরিশাল পোস্ট কোড,Barisal,Barisal,Sadar,Barisal Sadar,safe_candidate,unique_district_sadar
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Chitalmari,Chitalmari,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Fakirhat,Fakirhat,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Kachua,Kachua,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Mollarhat,Mollahat,safe_candidate,high_similarity:0.941;margin:0.353
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Rampal,Rampal,exact,exact
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Sadar,Bagerhat Sadar,safe_candidate,unique_district_sadar
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Alikadam,Alikadam,exact,exact
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Lama,Lama,exact,exact
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Naikhangchari,Naikhongchhari,safe_candidate,high_similarity:0.889;margin:0.249
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Roangchari,Rowangchhari,safe_candidate,high_similarity:0.909;margin:0.242
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Ruma,Ruma,exact,exact
বান্দরবান পোস্ট কোড,Chattogram,Bandarban,Sadar,Bandarban Sadar,safe_candidate,unique_district_sadar
